"","UWI","Source","Survey.ID","Depth.Measured","Depth.True.Vertical","Drift.Angle","Drift.Direction","North.South.Coordinate.Distance","North.South.Coordinate.Direction","East.West.Coordinate.Distance","East.West.Coordinate.Direction","Type","Point.Type.Name","PRODFit.Formation.Code","PRODFit.Formation.Name","Surface_longitude","Surface_Latitude","Well.Name","Lease","ns_meter","ew_meter","LatitudeVector","LongitudeVector","UWI_10","MaxDepth","year","RowOrder","Nearest Distance","Formation"
"6485","42317409800000","PI","1",11131,-8531.84,88.57,347.01,2567.6,"N",286.45,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",782.6045,-87.30996,32.36063,-101.9623,4231740980,-8561.56,NA,6485,63.76644,"WFMPA"
"6486","42317409800000","PI","1",11226,-8533.59,89.32,347.14,2660.17,"N",307.7,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",810.8198,-93.78696,32.36089,-101.9624,4231740980,-8561.56,NA,6486,63.76644,"WFMPA"
"6487","42317409800000","PI","1",11320,-8534.54,89.52,347.68,2751.91,"N",328.18,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",838.7821,-100.0293,32.36114,-101.9625,4231740980,-8561.56,NA,6487,63.76644,"WFMPA"
"6488","42317409800000","PI","1",11415,-8535.67,89.12,347.2,2844.63,"N",348.84,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",867.0432,-106.3264,32.36139,-101.9625,4231740980,-8561.56,NA,6488,63.76644,"WFMPA"
"6489","42317409800000","PI","1",11510,-8536.14,90.32,347.02,2937.23,"N",370.03,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",895.2677,-112.7851,32.36165,-101.9626,4231740980,-8561.56,NA,6489,63.76644,"WFMPA"
"6490","42317409800000","PI","1",11603,-8536.09,89.74,347.69,3027.97,"N",390.39,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",922.9252,-118.9909,32.36189,-101.9627,4231740980,-8561.56,NA,6490,63.76644,"WFMPA"
"6491","42317409800000","PI","1",11698,-8537.97,87.99,347.08,3120.66,"N",411.13,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",951.1771,-125.3124,32.36215,-101.9627,4231740980,-8561.56,NA,6491,63.76644,"WFMPA"
"6492","42317409800000","PI","1",11793,-8540.79,88.61,346.93,3213.18,"N",432.49,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",979.3772,-131.8229,32.3624,-101.9628,4231740980,-8561.56,NA,6492,63.76644,"WFMPA"
"6493","42317409800000","PI","1",11887,-8542.76,88.98,346.05,3304.56,"N",454.44,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1007.23,-138.5133,32.36265,-101.9629,4231740980,-8561.56,NA,6493,63.76644,"WFMPA"
"6494","42317409800000","PI","1",11982,-8542.91,90.84,345.84,3396.71,"N",477.51,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1035.317,-145.5451,32.3629,-101.9629,4231740980,-8561.56,NA,6494,63.76644,"WFMPA"
