XTO ENERGY
CROWNQUEST OPERATING
TRILOGY OPERATING
DIAMONDBACK E&P
LEGACY RESERVES OPERATING
CROWNQUEST OPERATING
TRACKER RESOURCE DEV III
STAMPER OPERATING CO
STAMPER OPERATING CO
EOG RESOURCES
EOG RESOURCES
ANADARKO
ANADARKO
ROSEHILL OPERATING
ANADARKO
ROSEHILL OPERATING
CROWNQUEST OPERATING
ENDEAVOR ENERGY RESOURCES
PATTON E N OIL
WINCHESTER ENERGY
SBJ OIL&GAS
PIONEER
ATLANTIC EXPLORATION
RESOLUTE NATURAL RES
CENTENNIAL RESOURCE PROD
CENTENNIAL RESOURCE PROD
OXY USA
OXY USA
ATLANTIC EXPLORATION
NBL PERMIAN
NBL PERMIAN
APC WATER HOLDINGS 1
APC WATER HOLDINGS 1
PETEX
SM ENERGY
SM ENERGY
PT PETROLEUM
COVENANT OPERATING
LAKOTA ENERGY
NA
NA
FASKEN
SURGE OPERATING
EAGLERIDGE OPERATING
EAGLERIDGE OPERATING
OXY USA
OXY USA
ADVENTURE OPERATING
MCCLURE OIL COMPANY
PARSLEY ENERGY OPERATIONS
SUTHERLAND ENERGY
SURGE OPERATING
TRACKER RESOURCE DEV III
DEEP GULLY OIL
RKI EXPLORATION&PRODUCTION
HILLSTONE DACO PERMIAN
PIONEER
DIAMONDBACK E&P
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
PERMIAN DEEP ROCK OIL CO
PERMIAN DEEP ROCK OIL CO
RBJ & ASSOC
PARSLEY ENERGY OPERATIONS
PIONEER
PIONEER
ENERGEN
GRACE 7 OPERATING
FELIX ENERGY HOLDINGS II
FELIX ENERGY HOLDINGS II
FELIX ENERGY HOLDINGS II
OXY USA
LAYLINE PETROLEUM I
FELIX ENERGY HOLDINGS II
FELIX ENERGY HOLDINGS II
FELIX ENERGY HOLDINGS II
RILEY EXPLORATION OPG
CRAIG BOB
VETERAN EXPL & PROD
CAPSTONE NATURAL RESOURCES
PIONEER
ENCANA
ENCANA
ENCANA
ENCANA
M E OPERATING&SERVICES
AJAX ENERGY
DRY FORK PRODUCTION
SURGE OPERATING
WFW PRODUCTION COMPANY
THREE RIVERS OPER CO III
EAGLERIDGE OPERATING
SM ENERGY
SM ENERGY
SM ENERGY
PIONEER
PIONEER
PIONEER
PIONEER
PIONEER
PIONEER
